2023-05-28T18:49:01.859426100 - Human at: x = 330.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.017082300 - Human at: x = 340.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.180251200 - Human at: x = 350.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.344418800 - Human at: x = 360.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.501442600 - Human at: x = 370.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.659749500 - Human at: x = 380.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.780539300 - Human at: x = 390.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:02.992289200 - Human at: x = 390.0, y = 460.0, rot = 90.0°
2023-05-28T18:49:03.150541 - Human at: x = 390.0, y = 450.0, rot = 0.0°
2023-05-28T18:49:03.326336500 - Human at: x = 390.0, y = 440.0, rot = 0.0°
2023-05-28T18:49:03.483339900 - Human at: x = 390.0, y = 430.0, rot = 0.0°
2023-05-28T18:49:03.641379700 - Human at: x = 390.0, y = 420.0, rot = 0.0°
2023-05-28T18:49:03.799336900 - Human at: x = 390.0, y = 410.0, rot = 0.0°
2023-05-28T18:49:03.962237100 - Human at: x = 390.0, y = 400.0, rot = 0.0°
2023-05-28T18:49:04.125425400 - Human at: x = 390.0, y = 390.0, rot = 0.0°
2023-05-28T18:49:04.283342600 - Human at: x = 390.0, y = 380.0, rot = 0.0°
2023-05-28T18:49:04.435226700 - Human at: x = 390.0, y = 370.0, rot = 0.0°
2023-05-28T18:49:04.586329600 - Human at: x = 390.0, y = 360.0, rot = 0.0°
2023-05-28T18:49:04.738151200 - Human at: x = 390.0, y = 350.0, rot = 0.0°
2023-05-28T18:49:04.890054200 - Human at: x = 390.0, y = 340.0, rot = 0.0°
2023-05-28T18:49:05.035209300 - Human at: x = 390.0, y = 330.0, rot = 0.0°
2023-05-28T18:49:05.192464400 - Human at: x = 390.0, y = 320.0, rot = 0.0°
2023-05-28T18:49:05.350014600 - Human at: x = 390.0, y = 310.0, rot = 0.0°
2023-05-28T18:49:05.513424200 - Human at: x = 390.0, y = 300.0, rot = 0.0°
2023-05-28T18:49:05.677432800 - Human at: x = 390.0, y = 290.0, rot = 0.0°
2023-05-28T18:49:05.822579 - Human at: x = 390.0, y = 280.0, rot = 0.0°
2023-05-28T18:49:05.980312200 - Human at: x = 390.0, y = 270.0, rot = 0.0°
